Date ,startup_name,industry_vertical,SubVertical,Country,City /State Location,Investors_Name,Investment_Type,Amount_in_USD,Remarks
25-10-2016,Kredx,E-Commerce,Invoice discounting marketplace,India,Bengaluru,Sequoia Capital,Private Equity,"60,00,000",no Remark
25-10-2016,Pickrr,SaaS & Enterprise Tech,Courier Logistics & Order management Solutions,India,New Delhi,Swastika Company Ltd,Seed Funding,,no Remark
25-10-2016,SatvaKart,E-Commerce,Online Grocery Etailer,India,Gurugram,Nimit Panigrahi,Seed Funding,,no Remark
25-10-2016,SooperMO,SaaS & Enterprise Tech,Android utility app suite creator,India,Gurugram,Lalit Vase,Seed Funding,"1,00,000",no Remark
24-10-2016,Box8,Consumer Internet,Online Food Ordering platform,India,Mumbai,"IIFL Seed Ventures Fund, Mayfield Ventures",Private Equity,"75,00,000",no Remark
24-10-2016,Healthians,Consumer Internet,Health Test Discovery & Ordering service,India,Gurugram,BEENEXT,Private Equity,"30,00,000",no Remark
23-10-2016,WOTU,E-Commerce,B2B Marketplace for traders,India,Bengaluru,KAE capital,Seed Funding,,no Remark
21-10-2016,ChatOnGo,Consumer Internet,Hyperlocal Communication Mobile app,India,Mumbai,Janak Jain,Seed Funding,"3,00,000",no Remark
20-10-2016,Hipcask,Consumer Internet,Alcoholic beverage discovery platform,India,Mumbai,Mobikon,Seed Funding,,no Remark
20-10-2016,RailYatri,Consumer Internet,Train Travel Info mobile app,India,Noida,"Helion Ventures, Blume ventures",Private Equity,,no Remark
20-10-2016,Stayology,Consumer Internet,Stay & Travel related services,India,Bengaluru,Ranjan Pai,Seed Funding,,no Remark
19-10-2016,Actofit,SaaS & Enterprise Tech,Wearable Technology platform & devices,India,Mumbai,Next Orbit Ventures Fund,Private Equity,"7,50,000",no Remark
19-10-2016,Fisdom,Consumer Internet,Personal Wealth Management Platform & App,India,Bengaluru,"Saama Capital, Raghunandan G, Aprameya Radhakrishna",Private Equity,"11,00,000",no Remark
19-10-2016,Furlenco,Consumer Internet,Online Furniture Rental platform,India,Bengaluru,"Lightbox Ventures, Axis Capital & Others",Private Equity,"3,00,00,000",no Remark
18-10-2016,3Dexter,SaaS & Enterprise Tech,3D Printing Solutions for Edu space,India,New Delhi,Newbie Promoters,Seed Funding,"1,50,000",no Remark
18-10-2016,BabyChakra,Consumer Internet,Parenting and Child Care portal,India,Mumbai,RoundGlass Partners,Private Equity,,no Remark
18-10-2016,Coppre,E-Commerce,Copper based items etailer,India,Pune,Ganesh Natarajan,Seed Funding,,no Remark
18-10-2016,ePathsala,SaaS & Enterprise Tech,Cloud based ERP for Accreditation & ICT,India,Bengaluru,"Hyderabad Angels, TLabs",Seed Funding,,no Remark
18-10-2016,MySUN,SaaS & Enterprise Tech,Solar Energy harnessing products marketplace,India,Noida,General Catalyst Partners,Private Equity,"25,00,000",no Remark
17-10-2016,Rentalpha,Consumer Internet,equipment rental and leasing company,India,Mumbai,Bravia Capital,Private Equity,"1,60,00,000",no Remark
17-10-2016,Rooter,Consumer Internet,Sports Social Network mobile app,India,New Delhi,"Boman Irani, Dhruv Chitgopekar, Prantik Dasgupta",Seed Funding,,no Remark
17-10-2016,Trilyo,SaaS & Enterprise Tech,B2B SAAS based product,India,Bengaluru,"Vishnu Bhat, Rajiv Lunkad, Naresh Ravindranath",Seed Funding,,no Remark
17-10-2016,Yumigo,Consumer Internet,App based Travel Discovery and Transactions platform,India,Gurugram,Hemant Sahni,Seed Funding,"3,00,000",no Remark
15-10-2016,DailyHunt,Consumer Internet,Vernacular content mobile app,India,Bengaluru,"ByteDance, Arun Sarin, Matrix Partners, Sequoia Capital India, Omidyar Network,\\xc2\\xa0 Falcon Edge",Private Equity,"2,50,00,000",no Remark
15-10-2016,MyKindofJob,Consumer Internet,Internet & Fresher Job platform,India,Mumbai,"Mayank Shah, Shreyans Shah",Seed Funding,"10,00,000",no Remark
15-10-2016,Tazzo Bikes,Consumer Internet,Motorbike rental platform,India,Hyderabad,DSG Consumer Partners,Seed Funding,"2,27,000",no Remark
14-10-2016,BeatRoute,SaaS & Enterprise Tech,SAAS based mobile application platform,India,Gurugram,Quarizon Consultancy Services LLP,Seed Funding,,no Remark
14-10-2016,Innov8,Consumer Internet,Co-Working Spaces aggregator,India,Bengaluru,Punit Soni,Seed Funding,,no Remark
14-10-2016,ISFC,FinTech,Education Sector Lending,India,Hyderabad,Gray Matters Capital,Private Equity,"60,00,000",no Remark
14-10-2016,Kidsstoppress,Consumer Internet,Parenting and Baby care Platform,India,Mumbai,Karan Bhagat,Seed Funding,,no Remark
14-10-2016,Newspatrolling,Consumer Internet,Online News portal,India,New Delhi,Undisclosed,Seed Funding,"25,000",no Remark
14-10-2016,Postman,Consumer Internet,API Platform,India,Bengaluru,Nexus Venture Partners,Private Equity,"70,00,000",no Remark
13-10-2016,FabAlley,E-Commerce,online fashion brand store,India,Noida,"India Quotient, FAO Ventures, Indian Angel Network, Tushar Singh, Ranjan Sharma",Private Equity,"20,00,000",no Remark
13-10-2016,Maya,Consumer Internet,Womens Health Tracker App,India,Bengaluru,Rajan Anandan,Seed Funding,,no Remark
13-10-2016,RoboVac,SaaS & Enterprise Tech,waterless car washing solution,India,Ahmedabad,Virendra Patel,Seed Funding,"4,50,000",no Remark
13-10-2016,Shoekonnect,E-Commerce,B2B Marketplace for Shoes,India,Agra,Indian Angel Network,Seed Funding,,no Remark
12-10-2016,ZipLoan,Consumer Internet,online lending platform,India,New Delhi,"GrowX Ventures, Sunil Kalra, Arun Venkatachalam,\\xc2\\xa0 Badal Malick",Seed Funding,,no Remark
