Date ,startup_name,industry_vertical,SubVertical,Country,City /State Location,Investors_Name,Investment_Type,Amount_in_USD,Remarks
11-10-2016,Deyor Camps,Consumer Internet,Branded Camping location Aggregator,India,Gurugram,"Nitin Passi, Manickam Mahalingam, Udaan Angels, Rajesh Arora, Arkas Industries",Seed Funding,"5,00,000",no Remark
11-10-2016,Yupp TV,Consumer Internet,Internet-based TV streaming service provider,India,Bengaluru,Emerald Media,Private Equity,"5,00,00,000",no Remark
10-10-2016,Vithi.com,E-Commerce,Online Hair Extension etailer,India,New Delhi,Undisclosed,Seed Funding,"3,75,000",no Remark
07-10-2016,Flexiloans,Consumer Internet,Online Funds Raising Platform,India,Mumbai,"Sanjay Nayar, Vikram Sud, Anil Jaggia, Narayan Seshadri",Private Equity,"1,50,00,000",no Remark
07-10-2016,KOOH Sports,SaaS & Enterprise Tech,Sports Training & Technology,India,Mumbai,"HDFC, Faering Capital, Elevate Sports",Private Equity,"22,00,000",no Remark
07-10-2016,RayIOT,SaaS & Enterprise Tech,Baby Monitoring Devices manufacturer,India,Bengaluru,HAX Accelerator,Seed Funding,"1,00,000",no Remark
07-10-2016,Sibia Analytics,SaaS & Enterprise Tech,Marketing & Customer Analytics Solutions,India,Kolkata,Radhakrishnan Natarajan & Others,Seed Funding,,no Remark
06-10-2016,FindmeaShoe,Consumer Internet,Footwear Recommendation App,India,Bengaluru,Ventureast Fund Advisors,Seed Funding,,no Remark
06-10-2016,GoZefo,E-Commerce,Used Furniture & Appliances Marketplace,India,Bengaluru,"Helion Venture Partners, BeeNext",Private Equity,"10,50,000",no Remark
06-10-2016,RealBox,SaaS & Enterprise Tech,Data Sciences Platform,India,Noida,Hyderabad Angels,Seed Funding,"3,00,000",no Remark
06-10-2016,Sportido,Consumer Internet,Sports Discovery platform,India,Noida,Sumpoorna Group,Seed Funding,,no Remark
05-10-2016,Azuro,Consumer Internet,Rental Property Finder platform,India,Mumbai,"White Unicorn Ventures, Kae Capital, Mumbai Angels",Private Equity,,no Remark
05-10-2016,MuhurtMaza,Consumer Internet,Online Puja Booking Service,India,Pune,Undisclosed,Seed Funding,,no Remark
05-10-2016,NeuroSynaptic,SaaS & Enterprise Tech,Remote Healthcare Delivery Solutions,India,Bengaluru,"Indian Angel Network, Healthsquad, Axilor Ventures",Private Equity,,no Remark
05-10-2016,UE LifeSciences,SaaS & Enterprise Tech,Mobile Health Technology Solutions,India,Mumbai,"Kiran Mazumdar-Shaw, Unitus Seed Fund",Private Equity,"12,00,000",no Remark
04-10-2016,AppsDaily,Consumer Internet,"Mobile Phone Theft, Damage Protection platform",India,Mumbai,"Zodius Capital, Kalaari Capital, Qualcomm Ventures, Russian venture capital fund Ru-Net, Mumbai Angels",Private Equity,"37,50,000",no Remark
04-10-2016,Bharat Bazaar,E-Commerce,Online B2B Marketplace,India,Mumbai,"BeeNext, TV Mohandas Pai, Kunal Shah, Sandeep Tandon",Seed Funding,,no Remark
04-10-2016,Giftxoxo,E-Commerce,Online Gifting platform,India,Bengaluru,Mahindra Holidays & Resorts India Ltd,Private Equity,"4,50,000",no Remark
04-10-2016,GOQii,Consumer Internet,Health & Fitness Wearable Device,India,Mumbai,Ratan Tata,Private Equity,,no Remark
04-10-2016,India Gifts Portal,E-Commerce,Online Gifting platform,India,Noida,"Naveen Arya, Tarun Joshi",Private Equity,"20,00,000",no Remark
04-10-2016,InnerChef,Consumer Internet,Online food ordering platform,India,Gurugram,"Mistletoe, M&S Partners",Private Equity,"25,00,000",no Remark
04-10-2016,Moglix,E-Commerce,Industrial & Home products marketplace,India,Noida,"Accel Partners, Jungle Ventures, SeedPlus",Private Equity,"42,00,000",no Remark
04-10-2016,NetLinx,Consumer Internet,Internet Service Provider,India,Hyderabad,"Xchange Investors NV, TransGlobal FZC",Private Equity,"30,00,000",no Remark
04-10-2016,Remitr,Consumer Internet,Foreign Currency Payments Platform,India,Mumbai,"Vijay Shekhar Sharma, Pravin Gandhi,\\xc2\\xa0 Smart Start Fund; Kunal Shah,\\xc2\\xa0 Sandeep Tandon, Vishal Gondal, & Others",Seed Funding,"10,00,000",no Remark
04-10-2016,Scandid,Consumer Internet,Product Shopping Comparison App,India,Pune,3One4 Capital,Private Equity,,no Remark
03-10-2016,HelpChat,Consumer Internet,AI Powered Content & Commerce platform,India,Bengaluru,"American Express Ventures, Sequoia Capital",Private Equity,,no Remark
03-10-2016,MeraKisan,E-Commerce,Fruit & vegetable eTailer,India,Bengaluru,Mahindra Univeg,Seed Funding,,no Remark
03-10-2016,Mystifly,Consumer Internet,Airline Ticket Aggregator,India,Bengaluru,Recruit Holdings,Private Equity,"50,00,000",no Remark
03-10-2016,Uniphore,SaaS & Enterprise Tech,Speech Recognition Solutions,India,Chennai,"IDG Ventures, Indian Angel Network (IAN), YourNest Angel Fund",Private Equity,"20,00,000",no Remark
03-10-2016,World Art Community,E-Commerce,Art & Craft Marketplace,India,Gurugram,Viraj Tyagi & Others,Seed Funding,"2,00,000",no Remark
30-09-2016,Demyto,Consumer Internet,Vehicle maintenance Services platform,India,Pune,Deepak Nathani,Seed Funding,,no Remark
30-09-2016,Kalaage,Consumer Internet,Social Networking Platform for Writers,India,Jaipur,Rajasthan Angel Innovators Network,Seed Funding,,no Remark
30-09-2016,Zeta,SaaS & Enterprise Tech,Enterprise Cloud Solutions,India,Mumbai,Bhavin Turakhia,Private Equity,"1,90,00,000",no Remark
29-09-2016,Fastudent,E-Commerce,Education eCommerce platform,India,Noida,"Kanwaljit Singh, Ajay Lakhotia, Pavan Ongole, Ashish Gupta",Seed Funding,,no Remark
29-09-2016,Promon,E-Commerce,Local Commerce Platform,India,New Delhi,Now Capital,Seed Funding,"1,80,000",no Remark
29-09-2016,Unocoin,Consumer Internet,Bitcoin Wallet,India,Bengaluru,"Blume Ventures, Mumbai Angels, ah! Ventures, Digital Currency Group, Boost VC, Bank to the Future and Funders Club",Private Equity,"15,00,000",no Remark
28-09-2016,Beardo,E-Commerce,Mens Grooming products etailer,India,Ahmedabad,Venture Catalysts,Seed Funding,"5,00,000",no Remark
28-09-2016,Celes Care,Consumer Internet,Virtual Health Clinic for Women,India,Hyderabad,Endiya Partners,Seed Funding,"10,00,000",no Remark
28-09-2016,Druva,SaaS & Enterprise Tech,Cloud Based Data Protection Solution,India,Pune,"Sequoia India, EDBI, Blue Cloud Ventures, Hercules Capital",Private Equity,"5,10,00,000",no Remark
28-09-2016,Instacar,Consumer Internet,Out-Station Taxi Rental Platform,India,Indore,Swastika Co Ltd.,Seed Funding,"10,00,000",no Remark
27-09-2016,Canvs,Consumer Internet,Community Platform for Artists and Designers,India,Mumbai,Pratik Seal,Seed Funding,,no Remark
27-09-2016,TinyStep,Consumer Internet,Parenting Network Platform,India,Bengaluru,Flipkart Logistics Pvt. Ltd,Private Equity,"15,80,000",no Remark
26-09-2016,EvenGini,Consumer Internet,Event Registration and Ticketing platform,India,Chennai,Procam International Pvt. Ltd,Private Equity,,no Remark
26-09-2016,Lets Barter,Consumer Internet,Goods & Services Barter Platform,India,New Delhi,Scale Ventures Funds,Seed Funding,,no Remark
23-09-2016,CloudCherry,SaaS & Enterprise Tech,CRM SAAS Platform,India,Chennai,"Vertex Ventures, Cisco Ventures, IDG Ventures",Private Equity,"60,00,000",no Remark
23-09-2016,First Moms Club,Consumer Internet,Social Network for Mothers,India,Mumbai,Idea Wave Labs,Seed Funding,,no Remark
23-09-2016,inMotion,SaaS & Enterprise Tech,Financial platform for daily wage earning communities,India,Noida,"Prashant Tandon, Gaurav Agarwal, Gaurav Bhogle, Shrishti Sahu, Shantanu Mathur, Prabhat Aggarwal",Seed Funding,,no Remark
23-09-2016,Parentlane,Consumer Internet,Social Platform for babycare and parenting,India,Bengaluru,Rohit MA,Seed Funding,,no Remark
22-09-2016,DailyRounds,Consumer Internet,Mobile App for Doctors,India,Bengaluru,"Accel Partners, Beenext, Powerhouse Ventures, Akusa Holdings",Private Equity,,no Remark
22-09-2016,Flixy Games,SaaS & Enterprise Tech,Mobile Game Publisher for Indian audience,India,Bengaluru,Rebright Partners,Seed Funding,"4,25,000",no Remark
22-09-2016,Gadgetwood,Consumer Internet,On-Demand Gadget repair services platform,India,New Delhi,Carpediem Capital,Private Equity,"60,00,000",no Remark
22-09-2016,HashTaag,SaaS & Enterprise Tech,Mobile App Development company,India,Bengaluru,Undisclosed,Seed Funding,"10,00,000",no Remark
22-09-2016,PharmaRack,SaaS & Enterprise Tech,SAAS application for Pharma Industry,India,Pune,"Currae Healthtech Fund, Unicorn India Ventures",Private Equity,"7,45,000",no Remark
21-09-2016,Co Life,Consumer Internet,shared living and working spaces platform,India,Bengaluru,Undisclosed,Seed Funding,"10,00,000",no Remark
21-09-2016,eQuickies,E-Commerce,Online Book etailer,India,Ahmedabad,Lothal Angel Ventures,Seed Funding,"2,98,000",no Remark
21-09-2016,Khel Now,Consumer Internet,Mobile-based social networking platform,India,New Delhi,Anglian Omega Network,Seed Funding,"3,50,000",no Remark
21-09-2016,Pepperfry,E-Commerce,Furniture eTailer,India,Mumbai,"Goldman Sachs Group, Zodius Technology Fund, Norwest Venture Partners, Bertelsmann India",Private Equity,"3,13,00,000",no Remark
21-09-2016,PurpleDocs,Consumer Internet,Electronic Health care records platform,India,Vadodara,"KellyGamma, Lead Angels & Others",Seed Funding,,no Remark
20-09-2016,Codemojo,Consumer Internet,Customer Engagement Platform,India,Bengaluru,CIO Angel Network,Seed Funding,,no Remark
20-09-2016,JoeHukum,SaaS & Enterprise Tech,Enterprise customer engagement solutions,India,New Delhi,Sumit Jain,Seed Funding,,no Remark
20-09-2016,JustLikeNew,E-Commerce,Online gadget Repair Services Marketplace,India,Hyderabad,LetsVenture,Seed Funding,"5,00,000",no Remark
19-09-2016,Liqvid,SaaS & Enterprise Tech,Integrated eLearning content solutions,India,New Delhi,Gray Matters Capital,Private Equity,,no Remark
19-09-2016,Milofy,Consumer Internet,Couple Socialization App,India,Bengaluru,Accel Partners,Seed Funding,"7,50,000",no Remark
19-09-2016,Swiggy,Consumer Internet,Online Food Ordering & Delivery,India,Bengaluru,Bessemer Venture Partners,Private Equity,"1,50,00,000",no Remark
16-09-2016,DoctorInsta,Consumer Internet,Online Doctor Consultations,India,Gurugram,RoundGlass Partners,Private Equity,"10,00,000",no Remark
16-09-2016,NewsDistill,Consumer Internet,City based News Aggregator App,India,Hyderabad,"Ganesh Narasimhan, Ramana Thumu, Sudhir Mallem",Seed Funding,"1,00,000",no Remark
15-09-2016,Furlenco,E-Commerce,Online furniture rental startup,India,Bengaluru,Lightbox Ventures and others,Private Equity,"50,00,000",no Remark
15-09-2016,GoPigeon,Consumer Internet,on-demand logistics service provider,India,Bengaluru,Nexus Venture Partners,Private Equity,"15,00,000",no Remark
15-09-2016,infeedo,Consumer Internet,Employee engagement platform,India,Gurugram,"Dheeraj Jain, Palash Jain, Anupam Mittal, Ameera Shah,\\xc2\\xa0 Vivek Bhargava, Rahul Singh, Ambarish Gupta,",Seed Funding,"2,00,000",no Remark
14-09-2016,Flocareer,Consumer Internet,Jobs & Skill Validation platform,India,Bengaluru,"Balasubramanian Krishnamurthy, Sidhartha Hazarika & Others",Seed Funding,"1,50,000",no Remark
14-09-2016,LensPick,E-Commerce,eyewear eTailer,India,Bengaluru,Scadea Solutions Inc,Private Equity,,no Remark
14-09-2016,ZeroInfy,Consumer Internet,Online Video Lectures platform,India,Kolkata,Calcutta Angels Network,Seed Funding,,no Remark
13-09-2016,Findow,Consumer Internet,Fashion Discovery Mobile app,India,Bengaluru,Raj Singh Bhandal,Seed Funding,,no Remark
13-09-2016,IdeaChakki,Consumer Internet,Restaurant Menu & Food mobile app,India,New Delhi,Ratan Tata,Seed Funding,,no Remark
13-09-2016,NearBuy,Consumer Internet,Online Deals & Discount platform,India,Gurugram,BlackSoil Capital Pvt. Ltd.,Private Equity,"25,00,000",no Remark
13-09-2016,Shoekonnect,E-Commerce,Footwear & Leather B2B App,India,Agra,Indian Angels Network,Seed Funding,,no Remark
12-09-2016,Glam Studios,Consumer Internet,Beauty Salon Aggregator,India,Noida,"Pradeep Mirani, Aqeel Ahmed, Anand Ladsariya, Nitin Agarwal",Seed Funding,"3,00,000",no Remark
12-09-2016,Inuxu,SaaS & Enterprise Tech,Online Advertising Solutions,India,Pune,Fork Media,Private Equity,"30,00,000",no Remark
12-09-2016,Nykaa,E-Commerce,Online Beauty products eTailer,India,Mumbai,"Sunil Munjal, Mariwala family",Private Equity,"1,23,00,000",no Remark
12-09-2016,Purple Style Labs,Consumer Internet,Personal Styling Online platform,India,Mumbai,"Augment Ventures, Rahul Kayan, Nikhil Golcha, Shubham Gupta, Roy Kwan",Seed Funding,"4,48,000",no Remark
10-09-2016,CureInstant,Consumer Internet,Social Health Networking Platform,India,New Delhi,Dr. Rameshwar Kumar,Seed Funding,"1,50,000",no Remark
10-09-2016,FreshBoxx,E-Commerce,Fruits & vegetable eTailer,India,Hubli,Ravi Linganuri,Seed Funding,,no Remark
10-09-2016,KarmaCircles,Consumer Internet,Peer-to-peer Social Learning platform,India,New Delhi,"Harinder Takhar, Zain Raj, Dr. Prasad Kaipa, Abaran Deep, Aseem Sood, Mustafa Patni",Seed Funding,,no Remark
10-09-2016,Poshtic,Consumer Internet,Online health & Wellness platform,India,Noida,"havya Sharma, Amit Nagar",Seed Funding,"4,50,000",no Remark
09-09-2016,Byjus,EdTech,Online Learning App,India,Bengaluru,"Chan Zuckerberg Initiative, Times Internet Ltd, Sequoia Capital, Sofina, Lightspeed Ventures",Private Equity,"5,00,00,000",no Remark
09-09-2016,NoBroker,Consumer Internet,Online Home Rental platform,India,Bengaluru,Anand Chandrasekaran,Seed Funding,,no Remark
08-09-2016,BuildTraders,E-Commerce,Online Construction Materials Marketplace,India,Bengaluru,Idein Ventures,Seed Funding,"2,00,000",no Remark
08-09-2016,TopRankers,EdTech,Online Test Preparation platform,India,Bengaluru,"CareerNet Consulting Pvt. Ltd, Ideation Initiative Pvt. Ltd,",Seed Funding,"6,70,000",no Remark
07-09-2016,Alternacare,Consumer Internet,Online Doctor Consulting platform,India,New Delhi,Eros Labs,Seed Funding,"5,00,000",no Remark
07-09-2016,Prozo,E-Commerce,Study Material Marketplace,India,Gurugram,"Earlsfield Capital, Sailender Solanki, Rajiv Solanki",Seed Funding,"3,15,000",no Remark
07-09-2016,Simplilearn,EdTech,Online Certification programs,India,Bengaluru,InnoVen Capital India,Private Equity,"60,00,000",no Remark
07-09-2016,Zilingo,E-Commerce,Online Fashion Retailer,India,Bengaluru,"Venturra Capital, Sequoia India, Susquehanna International Group.\\xc2\\xa0 Wavemaker Partners, Beenext, Beenos, Digital Garage",Private Equity,"80,00,000",no Remark
06-09-2016,BigStylist,Consumer Internet,Hyperlocal doorstep Beauty Services provider,India,Mumbai,Info Edge (India) Ltd,Private Equity,"9,00,000",no Remark
06-09-2016,CheersOye!,Consumer Internet,Online Gift Vouchers platform,India,Mumbai,Undisclosed,Seed Funding,"5,00,000",no Remark
06-09-2016,eShakti,E-Commerce,Women Fashion Apparel eTailer,India,Chennai,"Infina Finance Pvt. Ltd, Uday Kotak",Private Equity,"13,50,000",no Remark
06-09-2016,Lenskart,E-Commerce,Online Eyewear eTailer,India,New Delhi,PremjiInvest,Private Equity,,no Remark
05-09-2016,Social Quotient,SaaS & Enterprise Tech,Platform for Social Causes,India,Mumbai,"Anita Dongre, Yash Dongre, Milind Sarwate",Seed Funding,,no Remark
05-09-2016,Stalk Buy Love,E-Commerce,Fashion Apparel eTailer,India,New Delhi,William Bissel,Seed Funding,,no Remark
04-09-2016,Trackbizz,SaaS & Enterprise Tech,Field Force Automation System,India,Kochi,Grasshoppers,Private Equity,,no Remark
01-09-2016,Lucideus,SaaS & Enterprise Tech,IT Risk Assessment and Digital Security Services provider.,India,New Delhi,Amit Choudhary,Seed Funding,,no Remark
01-09-2016,Mad Street Den,SaaS & Enterprise Tech,Artificial Intelligence platform,India,Chennai,"Sequoia India, Exfinity Ventures, growX ventures,",Private Equity,,no Remark
01-09-2016,Mihup,SaaS & Enterprise Tech,Personal Digital Assistant,India,Kolkata,Accel Partners,Private Equity,"67,00,000",no Remark
01-09-2016,Renowala,E-Commerce,Home Improvement Marketplace,India,Hyderabad,Pradeep Dhobale,Seed Funding,,no Remark
31-08-2016,Flyrobe,E-Commerce,Online fashion rental platform,India,Mumbai,"IDG Ventures, Sequoia Capital, GREE Ventures",Private Equity,"53,00,000",no Remark
31-08-2016,Inclov,Consumer Internet,Matchmaking App for Disabled,India,Mumbai,"Sarbvir Singh, Raghav Bahl",Seed Funding,,no Remark
30-08-2016,Canvera,Consumer Internet,Photographer Discovery & Information platform,India,Bengaluru,Info Edge (India) Ltd,Private Equity,"30,00,000",no Remark
30-08-2016,Cropin,SaaS & Enterprise Tech,Agriculture Technology Solutions,India,Bengaluru,Sophia Investment ApS,Private Equity,"20,00,000",no Remark
30-08-2016,DayBox,Consumer Internet,Fruit & Vegetable Delivery platform,India,New Delhi,"Ashutosh Lawania, Rajul Jain, Badal Malick, Rishi Gupta & Others",Seed Funding,"1,04,000",no Remark
30-08-2016,iAugmentor Labs,SaaS & Enterprise Tech,Assessment & Learning Platform,India,Gurugram,Rajasthan Angel Investor Network & Others,Seed Funding,"1,49,000",no Remark
30-08-2016,Paytm,E-Commerce,Mobile Wallet & ECommerce platform,India,Bengaluru,MediaTek Inc.,Private Equity,"6,00,00,000",no Remark
30-08-2016,Prime Focus Technologies,SaaS & Enterprise Tech,Hybrid Cloud technology enabled Media ERP platform,India,Mumbai,Ambit Pragma,Private Equity,,no Remark
29-08-2016,LivSpace,Consumer Internet,Online portal for Home Design,India,Bengaluru,"Bessemer Venture Partners, Jungle Ventures, Helion Ventures",Private Equity,"1,50,00,000",no Remark
29-08-2016,Loantap,Consumer Internet,Lending platform for Salaried professionals,India,Mumbai,"Dr. Abhishek Pandey, Jaysukh Sapra",Private Equity,"30,00,000",no Remark
29-08-2016,Notion Press,Consumer Internet,Self-Publishing books platform,India,Chennai,Undisclosed,Private Equity,"10,00,000",no Remark
29-08-2016,Runnr,Consumer Internet,hyperlocal Logistics services provider,India,Bengaluru,"Nexus Venture Partners, Blume Ventures",Private Equity,"70,00,000",no Remark
29-08-2016,Zolo,Consumer Internet,on-demand online talent marketplace,India,Noida,Hitouch AG,Private Equity,,no Remark
