date,startup_name,industry_vertical,subvertical,country,city /state location,investors_name,investment_type,amount_in_usd,year,month
2019-06-10,OkCredit,FinTech,Financial Services,India,Haryana,Tiger Global Management,Series A,15500000,2019,June
2019-06-08,Vogo Automotive Pvt. Ltd.,Transport,Dockless Scooter Rental Company,India,Karnataka,Alteria Capital,Debt Funding,3584000,2019,June
2019-06-06,Biz2Credit,FinTech,Online Lending Platform,USA,New York,WestBridge Capital,Series B,52000000,2019,June
2019-06-06,Chakr Innovation,CleanTech,Renewable Energy,India,New Delhi,IAN Fund,Series A,26000000,2019,June
2019-06-06,Pratilipi,Media & Entertainment,E-Books,India,Bengaluru,Qiming Venture Partners,Series B,15109500,2019,June
2019-06-06,Sistema.bio,AgriTech,Hybrid Reactor Biodigestor,Kenya,Nairobi,"Shell Foundation, DILA CAPITAL, Engie RDE Fund, EcoEnterprise Fund, EDFIMC (ElectriFI), Endeavor Catalyst Fund, CoCapital, Triodos, Alpha Mundi, and Lendahand",Unclassified,2739035,2019,June
2019-06-05,NoBroker,E-Commerce,Real Estate,India,Bengaluru,General Atlantic,Series C,51000000,2019,June
2019-06-04,BharatPe,FinTech,FinTech,India,New Delhi,Insight Partners,Series B,75000000,2019,June
2019-06-04,Bira91,FoodTech,Brewery,India,New Delhi,Anicut Capital,Debt Funding,10000000,2019,June
2019-06-04,Leegality,Consumer Internet,Digital Documentation,India,Mumbai,Mumbai Angels,Series A,3400000,2019,June
2019-06-04,Recykal,CleanTech,Optimization,India,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",Pre Series A,26000000,2019,June
2019-06-03,Agara Labs,SaaS & Enterprise Tech,Artificial Intelligence,India,Bengaluru,Blume Ventures and RTP Global,Pre Series A,2500000,2019,June
2019-06-03,Avail Finance,FinTech,FinTech,India,Bengaluru,Matrix Partners,Series A,9000000,2019,June
2019-06-03,FabHotels,E-Commerce,Hospitality,India,Gurugram,"Goldman Sachs, Accel Partners and Qualcomm",Unclassified,4889976,2019,June
2019-05-31,Bira91,FoodTech,Brewery,India,New Delhi,Sixth Sense Ventures,Series B,5600000,2019,May
2019-05-30,GlowRoad,E-Commerce,Retail,India,Bengaluru,"Korea Investment Partners, Vertex Ventures",Series B,11500000,2019,May
2019-05-28,Ather Energy,Transport,Electric Vehicle,India,Bengaluru,Sachin Bansal,Series C,51000000,2019,May
2019-05-28,FreshVnF,AgriTech,Fresh Agriculture Produces,India,Mumbai,Equanimity Ventures,Seed Funding,140000000,2019,May
2019-05-06,Ola Electric,Transport,Cabs,India,Bengaluru,Tata Sons,Series A,,2019,May
2019-05-06,Saahas Zero Waste,CleanTech,Optimization,India,Bengaluru,C4D Partners,Venture Capital,868600,2019,May
2019-05-05,StyleDotMe,E-Commerce,Fashion and Shopping,India,New Delhi,"Indian Angel Network and other angel investors, Innov8 founder Ritesh Malik, Josh Talks founders Supriya Paul and Shobha Banga, and former Hero Corporate president Rohit Chanana",Bridge Round,,2019,May
2019-05-02,Zenoti,SaaS & Enterprise Tech,Beauty and Wellness Industry,India,Hyderabad,Tiger Global Management,Series C,50000000,2019,May
2019-05-01,BlackBuck,Transport,Logistics,India,Bengaluru,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",Series D,150000000,2019,May
